METADATA:,,,,,,,,,,
Block Runtime,Experiment Seed,Subject,,,,,,,,
90,8707290,subject010,,,,,,,,
Time after setup,7.9334354,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
ESQ,1015.91024,,Deliberate_response,2.5,Experience Sampling Questions,1,8707290,,Marker Started at 4,Reading Task
ESQ,1015.911373,,Other_start,,Experience Sampling Questions,1,8707290,,,Reading Task
ESQ,1019.693952,,Other_response,3,Experience Sampling Questions,1,8707290,,Marker Started at 3,Reading Task
ESQ,1019.695104,,Detailed_start,,Experience Sampling Questions,1,8707290,,,Reading Task
ESQ,1022.777173,,Detailed_response,5.5,Experience Sampling Questions,1,8707290,,Marker Started at 8,Reading Task
ESQ,1022.778296,,Focus_start,,Experience Sampling Questions,1,8707290,,,Reading Task
ESQ,1028.626635,,Focus_response,7.5,Experience Sampling Questions,1,8707290,,Marker Started at 2,Reading Task
ESQ,1028.627723,,Intrusive_start,,Experience Sampling Questions,1,8707290,,,Reading Task
ESQ,1031.743923,,Intrusive_response,1,Experience Sampling Questions,1,8707290,,Marker Started at 7,Reading Task
ESQ,1031.745081,,Self_start,,Experience Sampling Questions,1,8707290,,,Reading Task
ESQ,1034.760439,,Self_response,7,Experience Sampling Questions,1,8707290,,Marker Started at 7,Reading Task
ESQ,1034.761559,,Absorption_start,,Experience Sampling Questions,1,8707290,,,Reading Task
ESQ,1037.976918,,Absorption_response,1.5,Experience Sampling Questions,1,8707290,,Marker Started at 5,Reading Task
ESQ,1037.978062,,Problem_start,,Experience Sampling Questions,1,8707290,,,Reading Task
ESQ,1042.093361,,Problem_response,1,Experience Sampling Questions,1,8707290,,Marker Started at 10,Reading Task
ESQ,1042.094448,,Distracting_start,,Experience Sampling Questions,1,8707290,,,Reading Task
ESQ,1045.042852,,Distracting_response,1,Experience Sampling Questions,1,8707290,,Marker Started at 3,Reading Task
EXPERIMENT DATA:,Hard Math Task,,,,,,,,,
Start Time,1050.838248,,,,,,,,,
Math Task Start,1065.873048,,,,,,,,,
fixation cross,1065.88546,,,,,,,,,
Math Trial Start,1067.947884,,,,,,,,,
Choice presented,1067.963442,,,,,,,,,
Choice made,1070.091886,,,,,,,,,
Math Trial End,1070.091914,TRUE,,,,,,,,
Math Trial End,1070.091927,TRUE,,,,,,,,
Math Trial Start,1072.119272,,,,,,,,,
Choice presented,1072.127154,,,,,,,,,
Choice made,1074.075552,,,,,,,,,
